sel,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Time For Crime,Orion,rhode island indie,2019,2024‑10‑13,100,80,74,-7,7,96,202,0,3,35
2,Game Over.,Goreshit,chill breakcore,2013,2024‑10‑11,125,99,22,-1,13,4,335,0,18,25
3,That All about Your Fear,Chikoi The Maid,maidcore,2023,2024‑10‑11,92,92,51,-6,17,56,231,0,22,42
4,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,dance rock,1983,2024‑10‑11,125,71,69,-7,12,88,217,23,3,83
5,Aura,Creo,speedrun,2019,2024‑10‑09,128,87,40,-5,11,21,233,0,9,33
6,PSYCHOGENESIS,KoruSe,aggressive phonk,2022,2024‑10‑09,170,92,56,-3,35,45,135,0,12,45
7,Faith and Suspicion,Autonon,breakcore,2011,2024‑10‑09,199,95,33,-7,16,32,307,1,32,3
8,Premonition,Mayo.,chill breakcore,2022,2024‑10‑09,169,93,23,-11,15,30,123,0,10,34
9,A Stranger I Remain - Maniac Agenda Mix,Free Dominguez,video game music,2013,2024‑10‑09,165,96,44,-5,13,43,146,0,5,56
10,N.W.H.,Vestron Vulture,synthwave,2017,2024‑10‑09,120,93,61,-7,20,16,230,0,6,32
11,El Mañana,Gorillaz,alternative hip hop,2005,2024‑10‑09,132,73,64,-8,47,61,235,0,3,62
12,Sonyc,.XEROX.,georgian rock,2023,2024‑10‑06,173,86,44,-10,10,52,233,1,4,13
13,SimpsonWave1995,FrankJavCee,vaportrap,2016,2024‑10‑06,170,38,66,-10,11,65,143,6,4,65
14,Судно (Борис Рижий),Molchat Doma,belarusian indie,2018,2024‑10‑06,160,75,48,-4,11,47,141,70,7,72
15,Люди Надоели,Molchat Doma,belarusian indie,2017,2024‑10‑06,160,53,41,-10,11,83,179,41,4,56
16,Monolith - Slowed + Reverb,22echos,,2024,2024‑10‑06,185,80,54,-10,13,66,400,0,4,28
17,Monolith,Twin Tribes,dark post-punk,2023,2024‑10‑06,142,95,51,-6,11,80,265,0,4,56
18,Blood Moon,Jfarrari,,2024,2024‑10‑06,91,91,46,-6,11,52,173,0,3,30
19,The Unknowing,Jfarrari,,2023,2024‑10‑06,180,88,48,-6,17,69,197,1,4,47
20,Hard Drive,St3phen,,2024,2024‑10‑06,140,86,53,-5,36,12,158,0,3,32
21,music i listen to walking the streets at night,FrankJavCee,vaportrap,2023,2024‑10‑03,128,55,94,-10,12,37,128,23,34,47
22,MOKA!,The Vanished People,,2023,2024‑09‑30,92,60,57,-16,25,76,152,7,8,50
23,DARE,Gorillaz,alternative hip hop,2005,2024‑09‑30,120,89,76,-6,30,97,245,2,4,76
24,RUN!,Sophus Alf Agerbæk-Larsen,video game music,2018,2024‑09‑30,130,62,59,-10,8,10,148,4,3,44
25,Eres para Mí (with Anita Tijoux),Julieta Venegas,cantautora mexicana,2006,2024‑09‑27,97,69,80,-6,28,90,193,7,8,72
26,Frente a Frente,Jeanette,,1981,2024‑09‑27,149,32,64,-12,31,36,192,73,3,62
27,Amante Bandido,Miguel Bosé,latin pop,1984,2024‑09‑27,131,69,75,-9,5,76,261,5,4,63
28,Devuélveme a mi chica,Hombres G,latin alternative,1985,2024‑09‑27,173,94,59,-5,19,39,194,2,9,77
29,A Dios Le Pido,Juanes,colombian pop,2002,2024‑09‑27,97,84,67,-4,10,94,205,7,6,72
30,Estos Celos,Vicente Fernández,mariachi,2007,2024‑09‑27,105,32,75,-8,14,39,190,69,5,71
31,Cómo Te Extraño Mi Amor,Leo Dan,bolero,1964,2024‑09‑27,122,50,74,-10,18,95,175,83,3,74
32,Ahora Te Puedes Marchar,Luis Miguel,bolero,1987,2024‑09‑27,133,88,78,-4,6,91,192,15,4,77
33,Versus,Heaven Pierce Her,video game music,2020,2024‑09‑20,120,93,44,-10,12,45,251,0,3,52
34,Silver Bullet,Casey Edwards,sound team,2019,2024‑09‑19,130,91,58,-7,15,57,191,0,3,45
35,Repeat,Acrnym,breakcore,2007,2024‑09‑18,110,99,62,-2,30,43,255,1,7,6
36,Bargain Hunt,Acrnym,breakcore,2007,2024‑09‑18,120,99,58,0,14,19,216,2,19,7
37,Tidal Blade,Acrnym,breakcore,2021,2024‑09‑18,110,93,68,-3,7,87,136,0,8,22
38,Gentleman,Venetian Snares,braindance,2008,2024‑09‑18,174,98,55,0,22,26,273,4,11,22
39,The Gift (From “Call of Duty: Black Ops 3 - Revelations”) - Theatrical Mix,Brian Tuey,video game music,2023,2024‑09‑18,130,71,52,-8,10,56,144,0,5,26
40,Extraction Point,Hans Zimmer,german soundtrack,2010,2024‑09‑17,83,67,45,-11,11,25,215,0,3,44
41,Watch out for Golem.,Golemm,chill breakcore,2021,2024‑09‑11,165,93,63,-5,6,51,105,0,17,39
42,Amethyst Sex Magick,Windowshopping,chill breakcore,2022,2024‑09‑11,160,78,54,-9,4,90,140,0,8,35
43,Hajnal2,Venetian Snares,braindance,2010,2024‑09‑11,116,98,39,-3,29,18,294,8,14,9
44,Devil Town,Mother Mother,canadian indie rock,2024,2024‑09‑11,172,83,60,-5,14,27,221,5,4,53
45,Servants of the Scourge,DM DOKURO,pixel,2020,2024‑09‑10,95,91,42,-4,33,8,350,0,4,41
46,Napalm,Pendulum,australian dance,2024,2024‑09‑10,174,84,54,-6,36,43,205,0,6,58
47,Spysandbreakers,Autodidactic Studios,speedrun,2024,2024‑09‑10,128,96,60,-11,37,96,221,1,3,16
48,strangers once again,Tanger,meme,2024,2024‑09‑10,114,72,58,-8,14,59,197,2,4,40
49,What even is b@#$%core?,hkmori,,2024,2024‑09‑10,135,100,46,0,25,22,142,1,13,28
50,El Muchacho de los Ojos Tristes,Jeanette,,1981,2024‑08‑30,113,41,69,-12,25,87,207,47,3,61
51,Felt Good,Golemm,chill breakcore,2021,2024‑08‑29,133,95,58,-7,11,24,130,0,5,46
52,Wrath (From “Call of Duty: Black Ops Cold War - Mauer der Toten”),Brian Tuey,video game music,2023,2024‑08‑29,120,87,61,-5,12,49,233,0,3,24
53,Hajnal,Venetian Snares,braindance,2005,2024‑08‑27,174,77,35,-5,12,22,466,51,13,30
54,SUN OMAA P0RNOA,VALLU,,2023,2024‑08‑25,160,65,44,-10,13,20,123,1,4,11
55,Dream,Dorei The Maid,maidcore,2024,2024‑08‑22,110,71,46,-7,13,11,219,5,4,10
56,HOT TO GO!,Chappell Roan,indie pop,2023,2024‑08‑21,140,76,74,-5,31,96,185,2,4,90
57,Cigarettes out the Window,TV Girl,pov: indie,2016,2024‑08‑14,114,66,63,-6,17,59,199,12,3,84
58,"Irgendwie, irgendwo, irgendwann - Live 1998 / Short Edit",Nena,german pop,2023,2024‑08‑14,106,90,53,-5,35,54,235,0,3,27
59,Club Killer,Crossfire,,2021,2024‑08‑11,120,52,87,-10,9,52,184,4,20,0
60,Mutanever,Acrnym,breakcore,2021,2024‑08‑11,173,99,46,-4,34,35,207,0,12,11
61,Fuck Anyone Who Wasn't Into The Stuff I'm Into Before I Was - Original Mix,Dev/Null,breakcore,2006,2024‑08‑08,95,97,57,-6,14,46,174,0,16,16
62,Knife,Acrnym,breakcore,2007,2024‑08‑07,100,78,54,-3,12,10,306,0,26,27
63,WATCH YO STEP,Joey Valence & Brae,rap rock,2023,2024‑08‑05,105,96,84,-2,38,66,141,2,34,53
64,STARTAFIGHT,Joey Valence & Brae,rap rock,2023,2024‑08‑05,148,95,69,-1,14,48,187,3,16,53
65,Untitled #13,glwzbll,,2023,2024‑08‑02,150,97,60,-5,7,55,115,1,6,61
66,Pareidolia (From “Call of Duty: Black Ops - Shangri-La”) - Instrumental,Kevin Sherwood,video game music,2023,2024‑08‑02,200,90,42,-6,34,8,363,0,10,25
67,Cupid - Twin Ver.,FIFTY FIFTY,k-pop girl group,2023,2024‑08‑02,120,59,78,-8,34,76,174,43,3,0
68,help herself,bbno$,canadian hip hop,2021,2024‑08‑02,168,84,59,-7,14,67,167,45,4,51
69,Feisty (Remix),Jhameel,shimmer pop,2018,2024‑08‑02,108,81,75,-5,27,65,226,8,4,38
70,Perfect Cell Theme,Friedrich Habetler,,2018,2024‑08‑02,100,87,53,-7,15,23,199,0,5,48
71,EVE'S ALTER EGO,AZALI,sillycore,2023,2024‑08‑01,175,75,41,-10,12,35,61,1,4,49
72,Hey Kids,Molina,danish indie pop,2018,2024‑07‑31,87,53,58,-8,26,47,233,2,3,64
73,RN,Joey Valence & Brae,rap rock,2023,2024‑07‑28,100,88,85,-2,11,77,140,0,17,51
74,Taking What's Not Yours,TV Girl,pov: indie,2016,2024‑07‑25,100,91,71,-6,6,70,206,65,10,77
75,stellar,.diedlonely,ambient lo-fi,2023,2024‑07‑24,82,15,49,-20,10,11,100,89,3,70
76,watching the stars,Øneheart,hardwave,2022,2024‑07‑24,82,11,45,-26,9,5,99,94,3,70
77,Blue Hair,TV Girl,pov: indie,2018,2024‑07‑24,136,72,75,-6,26,88,217,55,3,82
78,PUNK TACTICS,Joey Valence & Brae,rap rock,2023,2024‑07‑24,98,97,69,-2,7,51,144,2,38,70
79,Tek It,Cafuné,brooklyn indie,2021,2024‑07‑22,147,91,42,-5,27,60,192,0,7,80
80,I ONLY WANT TO BE WITH YOU,Tommy february6,japanese electropop,2004,2024‑07‑20,130,91,65,-3,25,96,245,0,5,52
81,EVE,P*Light,denpa-kei,2021,2024‑07‑20,100,95,59,-3,83,81,119,0,9,34
82,Some Kind Of Magic,LVTHER,gaming edm,2016,2024‑07‑18,168,93,49,-4,26,30,194,4,5,48
83,Friday Night,SEGA SOUND TEAM,japanese vgm,2015,2024‑07‑17,126,98,59,-5,36,64,96,0,3,52
84,You & Me,Tally Hall,ann arbor indie,2011,2024‑07‑17,96,64,65,-6,6,94,172,4,3,49
85,Shadows,Pastel Ghost,dark synthpop,2015,2024‑07‑16,130,92,62,-8,7,33,209,4,3,50
86,I'd stay forever,whither,zoomergaze,2023,2024‑07‑15,170,65,33,-8,31,10,271,0,3,27
87,Summer Song,Remy Bond,,2024,2024‑07‑15,138,42,50,-8,16,23,246,71,3,64
88,Knight Rider,USAO,j-core,2019,2024‑07‑11,100,98,47,-4,43,47,129,0,23,35
89,Adventure of a Lifetime,Coldplay,permanent wave,2015,2024‑07‑09,112,92,64,-4,15,53,264,0,4,79
90,Beginning,C418,pixel,2011,2024‑07‑03,79,2,12,-31,9,4,102,99,4,59
91,That I Miss You,Vansire,bedroom pop,2018,2024‑07‑03,115,57,78,-9,11,97,140,31,4,64
92,OTONABLUE,ATARASHII GAKKO!,j-pop girl group,2020,2024‑07‑02,130,82,88,-5,15,70,186,12,9,51
93,Canned Heat,Jamiroquai,dance pop,1999,2024‑07‑02,128,87,70,-6,7,78,332,1,13,64
94,MILLION DOLLAR BABY,Tommy Richman,chill abstract hip hop,2024,2024‑07‑02,138,70,85,-6,7,92,155,10,4,90
95,Get Smooshed,Cursedsnake,,2019,2024‑07‑02,110,52,89,-4,32,67,238,3,5,25
96,DICE AND ROLL,Odetari,krushclub,2024,2024‑07‑02,120,78,78,-7,12,39,120,2,4,72
97,Bad Dream,Stellar,social media pop,2021,2024‑07‑01,125,75,73,-3,12,56,148,0,3,65
98,Physical,Dua Lipa,dance pop,2020,2024‑07‑01,147,84,65,-4,10,75,194,1,5,74
99,Stress Relief,late night drive home,pov: indie,2021,2024‑07‑01,140,67,52,-8,8,60,206,1,3,65
100,Boss Boss Boss,Bill Kiley,indie game soundtrack,2021,2024‑06‑24,160,84,42,-7,12,33,164,0,5,33
101,20190724,Mac DeMarco,edmonton indie,2023,2024‑06‑21,109,58,80,-13,6,96,70,37,8,58
102,The Set Up,Favored Nations,,2013,2024‑06‑21,125,74,84,-7,19,92,243,3,4,55
103,I Gotta Feeling,Black Eyed Peas,dance pop,2009,2024‑06‑20,128,77,74,-6,51,61,289,9,3,74
104,The hand,Yugo Kanno,anime score,2016,2024‑06‑20,150,87,49,-7,10,42,157,1,14,43
105,Want You Gone,Aperture Science Psychoacoustic Laboratories,video game music,2012,2024‑06‑20,100,51,68,-6,11,88,144,4,5,46
106,Meow,lvusm,,2021,2024‑06‑18,94,72,50,-12,11,94,143,0,13,57
107,Kangaroo Court,Capital Cities,metropopolis,2013,2024‑06‑18,100,58,76,-5,3,98,223,1,4,47
108,My Type,Saint Motel,la indie,2014,2024‑06‑18,118,90,60,-3,7,57,205,6,5,67
109,Enjoy the Silence,Depeche Mode,dance rock,2022,2024‑06‑18,113,67,63,-12,8,83,258,21,3,74
110,Some,Steve Lacy,afrofuturism,2016,2024‑06‑18,104,55,78,-6,10,63,118,1,3,81
111,Friends,Vacations,newcastle nsw indie,2016,2024‑06‑18,90,80,59,-6,8,39,152,0,3,66
112,Jealous,Eyedress,noise pop,2019,2024‑06‑18,93,92,47,-10,48,70,122,0,5,83
113,The Blonde,TV Girl,pov: indie,2014,2024‑06‑18,88,55,50,-8,29,23,228,23,2,76
114,DANCE NOW,Joey Valence & Brae,rap rock,2023,2024‑06‑18,100,88,82,-3,20,66,130,2,33,57
115,Shiawase - VIP,Dion Timmer,brostep,2020,2024‑06‑18,150,98,56,-1,67,50,182,1,15,52
116,Colliding Stars,Marzuku,,2022,2024‑06‑18,98,79,50,-9,12,30,74,0,7,48
117,Tires on Fire,coda,,2018,2024‑06‑18,159,97,44,-5,11,78,127,0,4,9
118,SUNRISE (Slowed + Reverb),Xantesha,gym phonk,2022,2024‑06‑11,120,93,74,-8,20,26,139,6,4,68
119,Rivers In the Desert,Lyn,japanese vgm,2017,2024‑06‑10,130,74,80,-7,9,70,315,8,5,55
120,Sign,Roosevelt,indie emo,2021,2024‑06‑08,119,87,62,-6,11,28,259,9,5,39
121,Modern Day Cain,I DONT KNOW HOW BUT THEY FOUND ME,alt z,2017,2024‑06‑05,160,80,44,-6,9,45,189,0,10,50
122,Butterfly,SMiLE.dk,bubblegum dance,1998,2024‑06‑03,135,99,70,-5,14,78,177,21,4,59
123,Everytime We Touch,Cascada,eurodance,2010,2024‑06‑03,142,98,63,-5,38,49,197,0,5,74
124,Upside Down,Jack Johnson,neo mellow,2006,2024‑05‑29,102,66,79,-8,14,65,209,24,4,66
125,Death Wish,Pascal Michael Stiefel,indie game soundtrack,2019,2024‑05‑20,170,95,34,-7,28,44,237,0,5,34
126,the perfect pair,beabadoobee,bedroom pop,2022,2024‑05‑16,146,66,63,-7,10,60,178,43,3,79
127,Fluxxwave (Slowed + Reverb),Clovis Reyes,sped up,2023,2024‑05‑16,140,56,54,-9,21,34,162,2,4,66
128,Me Voy,Julieta Venegas,cantautora mexicana,2006,2024‑05‑16,108,68,57,-4,10,60,188,7,3,81
129,Box 15,Masafumi Takada,japanese vgm,2011,2024‑05‑15,128,88,74,-5,10,67,245,0,4,36
130,Battle! Gym Leader (Sword and Shield),Vetrom,japanese vgm,2019,2024‑05‑15,140,98,54,-7,82,37,369,0,8,40
131,mr. sunshine,Arden Jones,singer-songwriter pop,2022,2024‑05‑15,130,79,59,-3,15,39,177,1,5,57
132,Bang Bang,K'NAAN,reggae fusion,2009,2024‑05‑15,180,90,62,-4,3,90,187,8,18,71
133,Not Like Us,Kendrick Lamar,conscious hip hop,2024,2024‑05‑15,101,47,90,-7,14,21,274,1,8,91
134,euphoria,Kendrick Lamar,conscious hip hop,2024,2024‑05‑15,140,64,83,-5,8,14,384,5,11,80
135,Autumn Melancholy,Chikoi The Maid,maidcore,2022,2024‑05‑15,94,63,44,-11,14,11,250,0,6,31
136,Forbidden,Chikoi The Maid,maidcore,2023,2024‑05‑15,90,86,49,-6,13,17,227,0,4,18
137,Catharsis,Chikoi The Maid,maidcore,2023,2024‑05‑15,132,74,57,-5,20,20,265,0,5,31
138,Mrs Magic,Strawberry Guy,bedroom pop,2019,2024‑05‑13,133,63,47,-7,37,37,209,16,3,79
139,Twilight,bôa,pov: indie,2010,2024‑05‑10,187,83,39,-8,10,38,229,16,11,70
140,In Circles,Creo,speedrun,2018,2024‑05‑08,92,66,49,-5,11,47,243,0,5,31
141,GOODTEK,EBIMAYO,rhythm game,2020,2024‑05‑08,95,99,49,-3,17,4,124,0,7,32
142,Can I Call You Tonight?,Dayglow,austindie,2019,2024‑05‑06,130,84,64,-7,42,50,279,13,3,75
143,Dead Ended (From “Call of Duty: Black Ops 3 - Gorod Krovi”),Kevin Sherwood,video game music,2023,2024‑05‑06,160,86,20,-6,32,40,250,0,9,39
144,snakelike (the stars collide),whatsaheart,zoomergaze,2024,2024‑05‑03,88,95,37,-4,40,40,163,0,8,64
145,Safe And Sound,Capital Cities,metropopolis,2013,2024‑05‑03,118,82,66,-5,10,77,193,0,3,67
146,Copacabana (At the Copa),Barry Manilow,adult standards,2006,2024‑05‑02,117,90,61,-6,8,66,237,33,8,65
147,CRAZY NOISY BIZARRE TOWN,THE DU,,2016,2024‑05‑01,136,95,52,-3,6,66,187,12,7,57
148,Overdue - Metal Version,Anjer,rhythm game,2024,2024‑05‑01,95,97,51,-4,18,54,217,0,9,24
149,Love Below - Dub Version,Joel Eel,modern ebm,2017,2024‑05‑01,104,90,76,-6,14,67,362,4,15,5
150,Party People,DJ Donna Summer,breakcore,2008,2024‑05‑01,180,97,45,-4,9,66,212,0,8,13
151,Synergetic Enigma,Dan Johansen,speedrun,2017,2024‑05‑01,150,95,23,-6,34,32,267,0,14,25
152,Parousia,XI,rhythm game,2011,2024‑05‑01,158,85,17,-7,8,22,277,0,10,26
153,Untrust Us,Crystal Castles,alternative dance,2008,2024‑05‑01,126,81,60,-5,12,19,186,4,3,59
154,Maximize Power! (Waldstein Theme),Raito,japanese vgm,2014,2024‑05‑01,130,83,41,-9,27,31,261,0,5,20
155,DEMONS IN MY SOUL,SCXR SOUL,drift phonk,2022,2024‑04‑30,100,43,77,-3,30,42,121,2,5,69
156,Labyrinth,Miracle Musical,pov: indie,2012,2024‑04‑29,127,80,50,-6,33,32,153,2,5,66
157,Fugue State,Vulfpeck,ann arbor indie,2014,2024‑04‑29,105,47,78,-10,9,55,162,11,4,50
158,La Campanella : Nu Rave,Cranky,rhythm game,2018,2024‑04‑26,178,98,41,-7,15,32,191,0,17,17
159,Looking Out for You,Joy Again,pov: indie,2016,2024‑04‑26,101,90,68,-5,7,94,179,9,9,78
160,Echoes of the Damned (From “Call of Duty: Black Ops Cold War”),Kevin Sherwood,video game music,2023,2024‑04‑26,131,37,36,-17,6,19,270,79,4,33
161,Smooth Criminal,Alien Ant Farm,alternative metal,2001,2024‑04‑25,127,96,65,-4,14,87,209,0,6,73
162,Any Way You Want It,Journey,album rock,1980,2024‑04‑25,138,93,53,-8,14,57,202,0,5,72
163,Six Shooter,Coyote Kisses,complextro,2015,2024‑04‑25,162,94,52,-5,39,91,220,0,8,52
164,What Would I Do?,Strawberry Guy,bedroom pop,2019,2024‑04‑24,129,46,54,-8,7,44,234,46,3,72
165,Sleepwalker,akiaura,dreampunk,2023,2024‑04‑24,120,80,60,-5,61,15,212,0,3,71
166,Cats on Mars,Gabriela Robin,,1998,2024‑04‑24,135,47,84,-10,9,97,165,11,5,18
167,We're Finally Landing,Home,,2014,2024‑04‑24,180,55,48,-13,45,7,272,5,7,56
168,Problems,Mother Mother,canadian indie rock,2011,2024‑04‑24,104,85,63,-4,16,53,208,1,3,64
169,Moonflowers,meganeko,chiptune,2023,2024‑04‑24,137,87,57,-10,33,28,238,1,6,29
170,Blackwater,RIOT,gaming dubstep,2019,2024‑04‑23,90,95,33,-1,38,18,291,0,19,33
171,Granite,Shirobon,chiptune,2019,2024‑04‑22,128,95,70,-3,8,63,152,0,9,30
172,Sneaky Driver,Bill Kiley,indie game soundtrack,2019,2024‑04‑22,103,67,61,-7,11,62,280,3,3,39
173,Innocence Glitched (Basement),Mudeth,bangalore indie,2016,2024‑04‑19,120,67,55,-7,12,23,329,1,3,39
174,Timeline,Chikoi The Maid,maidcore,2023,2024‑04‑19,90,84,54,-7,12,14,307,0,5,11
175,Idk,Madoi The Maid,maidcore,2022,2024‑04‑19,180,61,19,-16,13,13,176,0,6,23
176,hateful,Kaitai the Maid,maidcore,2016,2024‑04‑19,160,88,27,-6,14,42,152,0,7,21
177,Beautiful Things,Benson Boone,singer-songwriter pop,2024,2024‑04‑19,105,47,47,-6,14,22,180,15,6,90
178,Espresso,Sabrina Carpenter,pop,2024,2024‑04‑19,104,76,70,-5,19,69,175,11,3,94
179,One Way Out,Brian Tuey,video game music,2013,2024‑04‑19,120,30,22,-16,14,4,85,44,4,16
180,Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME,alt z,2020,2024‑04‑17,104,89,54,-3,32,57,216,0,4,52
181,Virtual Riots Idols,Virtual Riots,,2018,2024‑04‑17,130,88,61,-4,60,65,226,7,24,0
182,Heads Will Roll - A-Trak Remix Radio Edit,Yeah Yeah Yeahs,alternative dance,2009,2024‑04‑15,132,81,68,-3,24,87,204,1,8,61
183,Fairy Fountain,Super Guitar Bros,vgm instrumental,2018,2024‑04‑15,143,29,41,-16,9,61,63,97,4,67
184,"7PM (From ""Animal Crossing: New Leaf"")",Moisés Nieto,otacore,2018,2024‑04‑15,132,17,47,-21,14,18,161,98,5,41
185,"Great Fairy Fountain (From ""The Legend of Zelda: Breath of the Wild"") [Piano Version]",Streaming Music Studios,anime score,2019,2024‑04‑15,90,18,51,-19,12,28,101,99,3,40
186,Don't You (Forget About Me),Simple Minds,album rock,1985,2024‑04‑15,111,82,66,-7,6,68,263,17,3,74
187,A Mask of My Own Face,Lemon Demon,indietronica,2014,2024‑04‑15,100,32,81,-12,13,97,211,4,4,51
188,Hayloft II,Mother Mother,canadian indie rock,2022,2024‑04‑12,178,87,33,-5,9,17,215,0,10,74
189,People Eater,Sodikken,otacore,2021,2024‑04‑12,134,20,74,-14,35,89,97,92,8,57
190,One​-​Winged Angel (Final Fantasy VII),Nobuo Uematsu,chiptune,2007,2024‑04‑10,123,53,50,-8,30,25,266,87,4,47
